%x	Ca(CO3)@	Ca(HCO3)+	Ca+2	CaOH+	Mg(CO3)@	Mg(HCO3)+	Mg+2	MgOH+	CO2@	CO3-2	HCO3-	CH4@	ClO4-	Cl-	H2@	O2@	OH-	H+	H2O@	CO2	CH4	H2	O2	Cal	Dis-Dol	Sn
0	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.005000000000000002	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.010000000000000004	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.015000000000000006	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.020000000000000007	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.025000000000000005	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.030000000000000013	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.035	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.040000000000000015	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.04500000000000001	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.05000000000000001	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.05500000000000001	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.060000000000000026	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.06500000000000003	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.07000000000000002	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.07500000000000002	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.08000000000000002	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.08500000000000002	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.09000000000000002	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.09500000000000001	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.10000000000000003	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
0.10500000000000002	5.54874375400605e-06	1.13330172658074e-07	0.000116942823871373	1.47503480470695e-07	2.55979223745952e-10	8.42245954404915e-12	9.47412372769573e-09	2.61474589014273e-10	2.24879015888069e-08	3.39066086158559e-05	8.31609664327159e-05	0	3.61299798628405e-32	0.00000002	0	9.99999999947021e-05	8.31716417113331e-05	1.25835381552081e-10	55.5082900319043	0	0	0	0	0.000217747598721492	0	130.840729937927
